index;Titel;Autor_normalisiert;Jahr;Geschlecht;Gattung;all_words_count;AbstConc;anteil_AbstConc
1598;Ein Seemann;Loti, Pierre;1783;;;37618;8.889.445.400.000.070;23.630.829.390.185.700
1599;Das zweite Gesicht;Löns, Hermann;1912;;;82133;19.040.260.399.999.700;23.182.229.310.995.200
1603;Der letzte Hansbur;Löns, Hermann;1909;;;34516;7.956.312.200.000.070;2.305.108.413.489.410
1604;Dahinten in der Heide;Löns, Hermann;1909;;;34397;801.839.500.000.006;23.311.320.754.717.100
1606;Kraut und Lot;Löns, Hermann;1911;;;165522;38.455.363.200.005.900;23.232.780.657.559.600
1609;Der zweckmäßige Meyer;Löns, Hermann;1911;;;61459;13.876.769.500.000.200;22.578.905.449.161.500
1616;Fritz Beutel;Marggraff, Hermann;1856;;;133853;29.285.711.899.999.600;21.879.010.481.647.500
1619;Die zweite Frau;Marlitt, Eugenie;1874;;;97934;2.301.578.859.999.860;2.350.132.599.505.640
1620;Das Eulenhaus;Marlitt, Eugenie;1888;;;89800;2.181.660.929.999.920;2.429.466.514.476.520
1621;Reichsgräfin Gisela;Marlitt, Eugenie;1869;;;120079;29.159.759.099.998.500;24.283.812.406.831
1622;Im Schillingshof;Marlitt, Eugenie;1870;;;129781;31.669.770.800.000.500;24.402.470.931.800.900
1625;Stille Existenzen;Marni, Jeanne;1899;;;23405;50.973.426.999.999.800;2.177.886.220.892.960
1626;Hanna Warners Herz;Marryat, Florence;1886;;;62565;13.507.194.900.000.500;21.589.059.218.413.700
1638;Der neue Ahasver;Mauthner, Fritz;1882;;;110154;2.599.762.739.999.850;23.601.165.096.136.800
1640;Hypatia;Mauthner, Fritz;1891;;;90837;2.145.169.379.999.920;2.361.559.034.314.120
1642;Der letzte Tod des Gautama Buddha;Mauthner, Fritz;1912;;;25536;5.615.700.700.000.050;21.991.309.132.205.700
1645;Der Mir von Dschinnistan;May, Karl;1916;;;162523;3.369.615.320.000.260;20.733.159.737.392.600
1647;Der Scout;May, Karl;1889;;;105263;224.889.438.999.994;21.364.528.751.792.500
1650;Im Todesthale;May, Karl;1867;;;150642;32.214.617.400.003.000;2.138.488.429.521.850
1651;Scepter und Hammer;May, Karl;1879;;;182662;39.138.189.800.005.700;2.142.656.370.783.500
1652;Lopez Jordan::Lopez Jordan;May, Karl;1889;;;132713;27.763.071.899.999.500;20.919.632.515.277
1653;Der Schatz der Inkas::Lopez Jordan;May, Karl;1890;;;182499;3.843.165.550.000.630;21.058.556.759.218.600
1654;Der Schatz im Silbersee::Der Schatz im Silbersee;May, Karl;1891;;;191443;4.154.489.490.000.720;217.009.213.708.557
1655;Die Liebe des Ulanen 1;May, Karl;1885;;;153904;33.178.403.500.004.400;21.557.856.520.951.000
1656;Die Liebe des Ulanen;May, Karl;1885;;;124509;26.233.145.599.999.300;21.069.276.598.478.200
1657;Die Liebe des Ulanen;May, Karl;1885;;;141256;2.999.513.300.000.170;21.234.590.389.082.000
1658;Die Liebe des Ulanen;May, Karl;1885;;;125506;2.616.700.039.999.940;2.084.920.274.727.860
1659;Die Liebe des Ulanen;May, Karl;1885;;;135185;2.815.458.020.000.030;2.082.670.429.411.570
1661;Zwei Kaiserkronen;Meding, Oskar;1875;;;195344;456.825.585.000.015;2.338.569.830.657.780
1662;Die Römerfahrt der Epigonen;Meding, Oskar;1874;;;118014;27.179.014.999.998.500;23.030.331.147.150.700
1663;Europäische Minen und Gegenminen;Meding, Oskar;1873;;;254221;6.036.738.380.000.060;237.460.256.233.752
1664;Der Todesgruß der Legionen;Meding, Oskar;1874;;;178083;39.669.084.400.001.200;22.275.615.527.591.700
1665;Palle;Meding, Oskar;1895;;;104487;23.896.691.999.999.500;22.870.492.979.987.400
1666;Die Saxoborussen;Meding, Oskar;1885;;;166362;39.991.907.400.002.100;24.039.087.892.669.100
1667;Das Blinkfeuer von Brüsterort;Megede, Johannes Richard zur;1901;;;44177;10.154.391.900.000.300;229.856.982.140.036
1668;Félicie;Megede, Johannes Richard zur;1900;;;99324;2.130.738.269.999.850;21.452.400.930.287.200
1669;Modeste;Megede, Johannes Richard zur;1905;;;95829;2.168.825.989.999.930;22.632.251.093.092.200
1670;Der Ueberkater;Megede, Johannes Richard zur;1905;;;90141;19.957.518.499.999.200;22.140.334.032.237.500
1671;Der Ueberkater;Megede, Johannes Richard zur;1905;;;81935;17.772.065.899.999.500;21.690.444.742.783.300
1673;Die Bernsteinhexe Maria Schweidler::Die Bernsteinhexe Maria Schweidler;Meinhold, Wilhelm;1841;;;64454;12.464.112.200.000.900;1.933.799.640.053.510
1678;Richard Feverel;Meredith, George;1859;;;180552;40.482.360.800.006.500;2.242.144.135.761.800
1680;Heidenstamm;Meyer-Förster, Wilhelm;1901;;;53395;13.045.426.400.000.100;24.431.925.086.618.800
1685;Das grüne Gesicht;Meyrink, Gustav;1916;;;72972;16.755.325.900.000.000;22.961.308.310.036.700
1690;Walpurgisnacht;Meyrink, Gustav;1917;;;49692;11.481.099.100.000.100;23.104.522.055.864.400
1725;Die Familie Melville;Möllhausen, Balduin;1889;;;109683;2.517.113.039.999.880;22.948.980.607.750.300
1726;Das Mormonenmädchen. Band I;Möllhausen, Balduin;1864;;;55913;12.937.744.500.000.400;2.313.906.336.630.200
1727;Das Mormonenmädchen. Band II;Möllhausen, Balduin;1864;;;59919;1.354.577.550.000.040;2.260.681.169.579.010
1730;Der Piratenlieutenant - Teil 1;Möllhausen, Balduin;1869;;;111872;2.504.692.169.999.890;22.388.910.272.453.200
1731;Der Piratenlieutenant – Teil 2;Möllhausen, Balduin;1869;;;109841;24.905.590.399.998.700;2.267.422.037.308.360
1732;Der Schatz von Quivira;Möllhausen, Balduin;1879;;;161737;35.550.363.800.002.500;219.803.531.659.438
1733;Der Vaquero;Möllhausen, Balduin;1905;;;77793;17.600.124.799.999.900;2.262.430.398.621.970
1735;Afraja König von Lappland;Mügge, Theodor;1854;;;72631;1.714.335.719.999.990;2.360.336.109.925.500
1736;Afraja;Mügge, Theodor;1854;;;190856;4.264.953.010.000.490;22.346.444.492.185.200
1738;Erich Randal;Mügge, Theodor;1856;;;271446;61.148.739.400.004;22.527.036.463.975.800
1741;Frau Doktor Breuer;Mühlau, Helene von;1920;;;76233;17.210.941.500.000.000;22.576.760.064.539.000
1745;Der große Schwabenzug;Müller-Guttenbrunn, Adam;1913;;;84472;19.157.251.999.999.600;22.678.819.016.952.000
1747;Der Herr der Welt;Mützelburg, Adolf;1856;;;91513;2.099.075.549.999.950;22.937.457.519.696.100
1751;Elisabeth. I. Band;Nathusius, Marie;1858;;;73722;1.638.536.420.000.000;22.225.881.283.741.700
1752;Elisabeth – Zweiter Band;Nathusius, Marie;1858;;;101317;22.229.948.799.999.000;2.194.098.601.419.210
1771;Das Tagebuch der Ottony von Kelchberg;Niese, Charlotte;1913;;;49047;11.191.385.300.000.200;22.817.675.494.933.900
1773;Kajus Rungholt;Niese, Charlotte;1886;;;72213;17.097.958.799.999.600;2.367.712.018.611.550
1783;Die Damen von Croix-Mort – Erster Band;Ohnet, Georges;1887;;;29477;6.619.324.700.000.010;2.245.589.680.089.560
1784;Die Damen von Croix-Mort – Zweiter Band;Ohnet, Georges;1887;;;28937;6.431.944.800.000.000;222.274.071.258.251
1785;Der Hüttenbesitzer – Erster Band;Ohnet, Georges;1884;;;47485;10.737.644.900.000.600;2.261.270.906.602.210
1786;Der Hüttenbesitzer – Zweiter Band;Ohnet, Georges;1884;;;42677;957.329.130.000.033;22.431.968.741.946.000
1787;Die lichtscheue Dame – Erster Band;Ohnet, Georges;1902;;;52672;11.719.404.000.000.500;22.249.779.769.138.200
1788;Die lichtscheue Dame – Zweiter Band;Ohnet, Georges;1902;;;58477;1.286.933.080.000.060;22.007.508.593.123.200
1789;Nieder mit Bonaparte;Ohnet, Georges;1911;;;74338;1.616.359.869.999.980;21.743.386.558.691.100
1790;Doktor Rameau – Erster Band;Ohnet, Georges;1889;;;43539;9.527.744.200.000.200;218.832.407.726.411
1791;Doktor Rameau – Zweiter Band;Ohnet, Georges;1889;;;39991;859.575.260.000.011;21.494.217.698.982.500
1792;Der Schritt zur Liebe – Erster Band;Ohnet, Georges;1903;;;40552;8.572.191.500.000.230;21.138.763.809.430.400
1793;Der Schritt zur Liebe – Zweiter Band;Ohnet, Georges;1903;;;42008;9.014.640.000.000.290;21.459.341.077.890.600
1796;Der Steinbruch;Ohnet, Georges;1885;;;111587;2.503.198.079.999.950;22.432.703.451.118.400
1797;Unnützer Reichtum;Ohnet, George;1897;;;76228;16.164.811.200.000.000;2.120.587.080.862.680
1798;Aus großen Höhen;Ompteda, Georg Freiherr von;1903;;;60628;14.173.498.300.000.100;2.337.780.942.798.730
1799;Denise de Montmidi;Ompteda, Georg Freiherr von;1904;;;91900;2.103.250.189.999.940;22.886.291.512.513.000
1800;Margret und Ossana;Ompteda, Georg Freiherr von;1911;;;82837;19.417.299.400.000.300;23.440.370.124.461.700
1801;Maria da Caza;Ompteda, Georg Freiherr von;1897;;;69597;15.808.464.900.000.400;22.714.290.702.186.100
1805;Der Rebell;Oppeln-Bronikowski, Friedrich von;1905;;;81440;18.642.760.499.999.800;2.289.140.532.907.640
1808;Thomas Thyrnau – Erster Theil;Paalzow, Henriette;1788;;;77490;16.774.717.499.999.900;2.164.759.001.161.430
1809;Thomas Thyrnau – Zweiter Theil;Paalzow, Henriette;1788;;;94088;1.988.879.769.999.950;21.138.506.185.698
1810;Thomas Thyrnau – Dritter Theil;Paalzow, Henriette;1788;;;102071;21.861.144.299.999.800;21.417.586.092.033.800
1813;Bob der Fallensteller;Pajeken, Friedrich Joachim;1890;;;60253;15.003.117.200.000.000;24.900.199.492.141.500
1814;Andrew Brown – Der rote Spion;Pajeken, Friedrich Joachim;1894;;;51475;12.223.581.300.000.400;2.374.663.681.398.830
1830;Meine Gefängnisse;Pellico, Silvio;1837;;;62068;13.065.967.800.000.600;2.105.105.336.083.110
1833;Das verlorene Paradies;Perfall, Anton von;1896;;;52666;12.175.558.800.000.300;23.118.442.258.763.400
1839;Liebe ist ewig;Polenz, Wilhelm von;1901;;;86393;19.825.993.599.999.600;22.948.611.114.326.000
1841;Der Pfarrer von Breitendorf Erster Band;Polenz, Wilhelm von;1895;;;65844;14.801.078.300.000.100;2.247.900.841.382.670
1842;Der Pfarrer von Breitendorf Zweiter Band;Polenz, Wilhelm von;1895;;;65271;14.403.815.400.000.100;22.067.710.621.869.100
1843;Wurzellocker - Erster Band;Polenz, Wilhelm von;1902;;;59724;1.375.514.710.000.030;2.303.118.863.438.540
1844;Wurzellocker Zweiter Band;Polenz, Wilhelm von;1902;;;59308;13.558.197.000.000.400;22.860.654.549.134.100
1845;Siebenquellen;Ponten, Josef;1908;;;55672;13.150.729.700.000.300;2.362.180.216.266.750
1846;Der babylonische Turm;Ponten, Josef;1918;;;104933;24.679.864.299.999.800;23.519.640.437.231.200
1848;Der Rubin der Herzogin;Presber, Rudolf;1915;;;101072;24.157.951.299.998.200;2.390.172.481.003.460
1850;Yoshiwara - Vom Freudenhaus des Lebens;Preuschen, Hermione von;1920;;;28784;6.657.115.200.000.060;23.127.832.128.960.700
1870;1812 – Ein historischer Roman;Rellstab, Ludwig;1812;;;362019;8.416.454.239.999.180;23.248.653.357.970.600
1873;Der Doktor Lerne;Renard, Maurice;1909;;;63843;1.436.413.580.000.050;22.499.155.428.160.500
1874;Die Abenteurer;Retcliffe, Sir John;1880;;;132834;3.159.283.200.000.100;23.783.693.933.782.800
1875;Garibaldi;Retcliffe, Sir John;1860;;;71809;17.180.655.699.999.800;2.392.549.081.591.420
1876;Magenta und Solferino - Band 1;Retcliffe, Sir John;1864;;;103634;22.819.201.299.998.900;2.201.902.975.857.240
1877;Magenta und Solferino - Band 2;Retcliffe, Sir John;1865;;;101302;22.347.183.899.999.200;2.205.996.317.940.330
1878;Magenta und Solferino - Band 3;Retcliffe, Sir John;1865;;;103654;23.127.693.699.998.800;22.312.398.653.210.500
1879;Nena Sahib;Retcliffe, Sir John;1884;;;222548;5.154.632.860.000.610;23.161.892.535.545.600
1880;Sebastopol - Erster Band;Retcliffe, Sir John;1856;;;210619;4.972.662.630.000.550;236.097.532.986.129
1881;Sewastopol - Zweiter Band;Retcliffe, Sir John;1860;;;102774;24.348.465.199.998.100;2.369.126.938.719.730
1882;Abenteuer in Sibirien;Retcliffe, Sir John;1870;;;61723;14.090.284.700.000.200;22.828.256.403.610.000
1883;Solferino;Retcliffe, Sir John;1864;;;101868;22.805.195.599.998.800;2.238.700.632.190.560
1884;Die Abenteurer der Sonora;Retcliffe, Sir John;1919;;;79265;1.877.852.059.999.940;23.690.810.067.494.300
1891;Dörchläuchting;Reuter, Fritz;1866;;;83154;9.202.854.000.000.580;11.067.241.503.716.700
1894;Ut de Franzosentid;Reuter, Fritz;1859;;;63054;7.120.535.100.000.350;11.292.757.160.529.600
1911;Der Trotzkopf;Rhoden, Emmy von;1883;;;52876;12.617.337.400.000.100;23.862.125.349.875.400
1919;Ein ganzer Mann;Riehl, Wilhelm Heinrich;1897;;;62658;14.271.517.900.000.400;22.776.848.766.319.400
1940;Rosalie und Cleberg auf dem Lande / 1;Roche, Sophie von La;1791;;;79808;16.735.953.800.000.100;20.970.270.900.160.500
1942;Das tote Brügge;Rodenbach, Georges;1902;;;22435;5.272.769.500.000.030;23.502.427.011.366.300
1949;Heideschulmeister Uwe Karsten;Rose, Felicitas;1909;;;61151;1.392.953.900.000.080;22.778.922.666.842.400
1950;Kerlchens Lern- und Wanderjahre;Rose, Felicitas;1902;;;40729;9.464.329.300.000.240;23.237.323.037.639.600
1951;Kerlchen als Anstandsdame;Rose, Felicitas;1903;;;36975;8.790.803.700.000.020;23.774.993.103.448.300
1952;Provinzmädel;Rose, Felicitas;1902;;;35962;7.994.440.900.000.110;22.230.245.536.956
1953;Kerlchen als Sorgen- und Sektbrecher;Rose, Felicitas;1903;;;36453;8.234.117.800.000.200;22.588.313.170.384.300
1956;Heidepeters Gabriel;Rosegger, Peter;1882;;;82792;19.180.746.699.999.500;23.167.391.414.628.900
1959;Jakob der Letzte;Rosegger, Peter;1889;;;78178;17.494.052.000.000.200;2.237.720.586.354.250
1961;Peter Mayr der Wirt an der Mahr;Rosegger, Peter;1893;;;98968;2.246.258.259.999.960;2.269.681.371.756.490
1981;Das Erwachen;Ruederer, Josef;1916;;;86167;1.981.438.229.999.940;22.995.325.704.735.500
2005;Ein verbummelter Student;Sack, Gustav;1917;;;47907;10.923.315.100.000.200;2.280.108.355.772.680
2012;Kontraste und Paradoxen;Sallet, Friedrich von;1845;;;67545;14.571.902.400.000.300;2.157.362.114.146.180
2018;Held und Kaiser;Samarow, Gregor;1874;;;175738;41.704.148.100.001.300;2.373.086.532.224.180
2019;Kreuz und Schwert;Samarow, Gregor;1875;;;203584;4.841.319.210.000.350;237.804.503.792.064
2020;Plewna;Samarow, Gregor;1800;;;144838;3.395.044.000.000.090;23.440.285.008.078.600
2028;Die Familie Pfäffling;Sapper, Agnes;1907;;;64140;15.107.647.900.000.100;2.355.417.508.575.020
2031;Fritz Reinhardt;Schaumberger, Heinrich;1874;;;134237;3.053.083.649.999.960;22.743.980.050.209.400
2032;Der Tod der Barmekiden;Scheerbart, Paul;1897;;;39996;9.269.673.100.000.300;23.176.500.400.040.700
2035;Das graue Tuch und zehn Prozent Weiß;Scheerbart, Paul;1914;;;31019;7.606.296.100.000.140;2.452.140.978.110.230
2038;Der Kaiser von Utopia;Scheerbart, Paul;1904;;;29711;6.737.535.900.000.140;2.267.690.720.608.570
2041;Die große Revolution. Ein Mondroman;Scheerbart, Paul;1902;;;29800;6.392.456.499.999.990;21.451.196.308.724.800
2042;Münchhausen und Clarissa;Scheerbart, Paul;1906;;;27730;642.053.590.000.003;23.153.753.696.357.800
2043;Na prost!;Scheerbart, Paul;1898;;;16560;3.827.140.400.000.000;23.110.751.207.729.500
2044;Rakkóx der Billionär;Scheerbart, Paul;1901;;;5210;11.831.416.000.000.000;22.709.051.823.416.500
2047;Michel;Scherr, Johannes;1858;;;153014;3.415.376.770.000.090;2.232.068.157.162.150
2049;Die Pilger der Wildnis;Scherr, Johannes;1853;;;56288;13.350.119.800.000.500;2.371.752.380.614.080
2055;Benkal, der Frauentröster;Schickele, René;1913;;;31159;722.474.640.000.011;23.186.708.174.203.600
2059;Meine Freundin Lo;Schickele, René;1911;;;23637;55.471.994.000.000.000;2.346.828.869.991.960
2061;Irrwege der Liebe;Schirokauer, Alfred;1919;;;26821;6.188.982.500.000.000;23.075.137.019.499.600
2062;Lassalle;Schirokauer, Alfred;1912;;;91119;20.759.784.199.999.200;22.783.156.312.074.500
2064;Das Lied der Parzen;Schirokauer, Alfred;1912;;;59315;13.747.690.500.000.400;23.177.426.451.994.200
2083;Bürgerliche Bohème;Schmitz, Oscar A. H.;1918;;;133868;3.071.310.880.000.030;2.294.283.084.829.860
2103;Künstlerblut;Schobert, Hedwig;1892;;;111299;2.543.561.299.999.930;22.853.406.589.456.600
2107;Der deutsche Herzog;Schreckenbach, Paul;1914;;;73814;16.872.339.899.999.700;22.857.912.997.534.000
2108;Der getreue Kleist;Schreckenbach, Paul;1909;;;72144;16.434.225.200.000.100;22.779.753.271.235.500
2109;Der böse Baron von Krosigk;Schreckenbach, Paul;1907;;;95371;21.862.755.599.999.300;2.292.390.307.326.050
2110;Michael Meyenburg;Schreckenbach, Paul;1919;;;84263;18.797.087.899.999.500;22.307.641.432.182.000
2111;Die letzten Rudelsburger;Schreckenbach, Paul;1913;;;64169;14.472.175.500.000.300;2.255.321.962.318.300
2112;Um die Wartburg;Schreckenbach, Paul;1912;;;61157;13.998.893.800.000.200;22.890.092.385.172.900
2113;Wildefüer;Schreckenbach, Paul;1919;;;94287;21.198.847.499.999.300;22.483.319.545.641.800
2116;Gräfin Erikas Lehr- und Wanderjahre;Schubin, Ossip;1892;;;128642;29.454.961.800.000.500;22.896.846.908.475.000
2117;Im gewohnten Geleis;Schubin, Ossip;1901;;;75534;17.193.023.799.999.800;22.761.966.531.627.900
2118;Marška;Schubin, Ossip;1902;;;28111;64.940.217.000.000.600;23.101.354.274.127.700
2119;Maximum;Schubin, Ossip;1896;;;61781;1.386.699.040.000.030;22.445.396.481.119.300
2122;Der Rosenkavalier;Schubin, Ossip;1900;;;43964;9.687.495.700.000.280;2.203.506.437.084.950
2132;Rodanseck;Schwerin, Josephine Gräfin;1883;;;43810;967.320.200.000.036;2.207.989.500.114.210
2136;Eine dunkle Tat;Schücking, Levin;1896;;;62531;14.685.744.000.000.100;2.348.554.157.138.080
2139;Luther in Rom;Schücking, Levin;1870;;;114144;2.605.450.919.999.860;22.825.999.789.738.000
2141;Die Marketenderin von Köln;Schücking, Levin;1860;;;89473;2.047.888.259.999.920;22.888.337.934.348.000
2174;Das blutige Blockhaus;Sealsfield, Charles;1834;;;112141;25.297.874.699.999.100;22.558.987.970.500.600
2175;Das Kajütenbuch oder Nationale Charakteristiken;Sealsfield, Charles;1843;;;109447;2.397.693.609.999.880;2.190.734.885.378.200
2176;Der Legitime und die Republikaner;Sealsfield, Charles;1833;;;143815;3.371.600.480.000.160;2.344.401.126.447.280
2178;Nathan der Squatter;Sealsfield, Charles;1835;;;41139;9.179.007.000.000.210;22.312.178.225.042.400
2180;Tokeah;Sealsfield, Charles;1828;;;143823;33.719.920.200.001.600;2.344.542.959.053.950
2181;Der Virey und die Aristokraten;Sealsfield, Charles;1835;;;92118;20.950.912.799.999.400;2.274.356.021.624.370
2184;Reinhard Flemmings Abenteuer zu Wasser und zu Lande;Seidel, Heinrich;1888;;;47351;1.022.584.520.000.030;21.595.837.891.491.900
2214;Fischke der Krumme;Sfurim, Mendele Moicher;1869;;;58038;129.606.624.000.004;2.233.133.877.804.260
2220;Ohne Dogma;Sienkiewicz, Henry;1892;;;86268;17.970.341.599.999.700;2.083.083.136.272.980
2224;Der Wagehals;Skowronnek, Fritz;1866;;;52383;12.387.371.100.000.500;23.647.693.144.723.600
2225;Schweigen im Walde;Skowronnek, Richard;1909;;;65638;14.959.531.300.000.300;2.279.096.148.572.510
2226;Sturmzeichen;Skowronnek, Richard;1914;;;69447;16.299.069.199.999.800;23.469.795.959.508.400
2230;Seemanns-Sagen und Schiffer-Märchen;Smidt, Heinrich;1835;;;60641;14.427.450.500.000.300;23.791.577.480.583.000
2237;Die Höhlenkinder – Im Heimlichen Grund;Sonnleitner, A. Th.;1918;;;44736;11.324.961.700.000.400;2.531.509.679.005.830
2238;Die Höhlenkinder – Im Pfahlbau;Sonnleitner, A. Th.;1918;;;44989;11.199.314.900.000.500;24.893.451.510.370.300
2239;Die Höhlenkinder – Im Steinhaus;Sonnleitner, A. Th.;1920;;;39115;9.910.215.700.000.260;25.336.100.472.965.000
2241;Heidehof Lohe;Speckmann, Diedrich;1906;;;72005;16.122.702.300.000.300;2.239.108.714.672.640
2243;Frei geboren;Spielhagen, Friedrich;1900;;;101136;21.803.586.399.999.700;21.558.679.797.500.100
2244;Noblesse oblige;Spielhagen, Friedrich;1888;;;107420;2.408.819.249.999.890;22.424.308.787.934.200
2245;Opfer;Spielhagen, Friedrich;1899;;;134408;3.073.854.900.000.060;2.286.958.291.173.190
2246;Platt Land;Spielhagen, Friedrich;1878;;;171169;38.971.115.900.003.100;22.767.624.920.402.100
2247;Quisisana;Spielhagen, Friedrich;1880;;;79279;17.671.318.200.000.100;22.290.036.705.811.300
2248;Sturmflut;Spielhagen, Friedrich;1877;;;93386;21.877.235.599.999.700;23.426.675.947.143.800
2249;Susi;Spielhagen, Friedrich;1889;;;55259;12.429.271.400.000.600;2.249.275.484.536.570
2250;Uhlenhans;Spielhagen, Friedrich;1884;;;140716;31.809.630.700.001.500;22.605.553.526.252.500
2252;Der Vogelhändler von Imst;Spindler, Carl;1841;;;215176;457.121.651.000.089;2.124.408.163.550.250
2253;Der Jesuit;Spindler, Carl;1829;;;117301;2.684.328.779.999.930;22.884.108.234.370.800
2268;Im Rhonetal;Spyri, Johanna;1896;;;25882;6.118.150.299.999.990;23.638.630.322.231.600
2271;Was soll denn aus ihr werden?;Spyri, Johanna;1887;;;69598;16.242.603.300.000.200;23.337.744.331.733.900
2273;Schloss Wildenstein;Spyri, Johanna;1892;;;66314;15.060.447.500.000.500;22.710.811.442.531.700
2277;Drei Nächte;Stehr, Hermann;1909;;;87067;20.502.584.699.999.600;2.354.805.460.162.820
2278;Der begrabene Gott;Stehr, Hermann;1905;;;69463;16.282.397.399.999.600;23.440.388.984.062.900
2280;Der Heiligenhof;Stehr, Hermann;1918;;;188157;43.609.351.600.004.700;23.177.108.265.971.800
2284;Irmela;Steinhausen, Heinrich;1881;;;68443;13.665.383.300.000.500;1.996.607.878.088.410
2319;Wilhelmine Buchholz' Memoiren;Stinde, Julius;1895;;;75440;16.007.156.200.000.000;21.218.393.690.350.000
2320;Emma das geheimnißvolle Hausmädchen;Stinde, Julius;1904;;;56631;12.462.770.100.000.400;22.006.975.154.951.200
2321;Die Familie Buchholz. Aus dem Leben der Hauptstadt;Stinde, Julius;1884;;;69045;15.392.225.600.000.300;22.293.034.397.857.000
2322;Buchholzens in Italien;Stinde, Julius;1883;;;49589;11.433.758.800.000.300;2.305.704.652.241.480
2323;Frau Buchholz im Orient;Stinde, Julius;1888;;;76566;17.732.767.899.999.800;2.316.010.748.896.350
2329;Morgenrot;Stoessl, Otto;1912;;;111227;26.464.920.199.998.600;2.379.361.144.326.340
2331;Sonjas letzter Name;Stoessl, Otto;1908;;;57740;13.171.602.100.000.300;2.281.191.912.019.450
2338;Schloß Vogelöd;Stratz, Rudolph;1900;;;76096;1.680.860.139.999.990;22.088.679.299.831.700
2339;Der weiße Tod;Stratz, Rudolph;1897;;;50493;11.850.203.800.000.200;23.469.003.228.170.800
2340;Arme Thea!;Stratz, Rudolph;1896;;;46269;10.950.286.200.000.400;23.666.572.002.853.700
2341;Die armen Reichen;Stratz, Rudolph;1909;;;58833;13.436.792.100.000.500;2.283.886.951.200.950
2343;Die kleine Elten;Stratz, Rudolph;1895;;;55878;12.896.601.700.000.200;2.307.992.716.274.790
2344;Seine englische Frau;Stratz, Rudolph;1913;;;104180;2.420.317.899.999.920;2.323.207.813.399.810
2345;Die ewige Burg;Stratz, Rudolph;1900;;;73075;16.053.878.500.000.000;21.969.043.448.511.800
2346;Das freie Meer;Stratz, Rudolph;1908;;;78996;18.956.835.499.999.600;2.399.720.935.237.180
2348;Für Dich;Stratz, Rudolph;1908;;;99990;22.838.684.699.999.400;2.284.096.879.687.910
2349;Herzblut;Stratz, Rudolph;1908;;;88371;19.580.574.799.999.600;2.215.724.027.112.920
2350;Hexenkessel;Stratz, Rudolph;1894;;;79345;18.491.182.899.999.600;23.304.786.565.000.500
2351;Die törichte Jungfrau;Stratz, Rudolph;1900;;;82734;18.767.994.599.999.200;22.684.742.185.799.300
2353;Montblanc;Stratz, Rudolph;1899;;;60712;14.290.671.100.000.200;2.353.846.208.327.870
2354;Das Schiff ohne Steuer;Stratz, Rudolph;1789;;;124934;29.049.045.499.999.900;2.325.151.319.896.900
2355;Unter den Linden;Stratz, Rudolph;1893;;;40622;971.582.900.000.016;23.917.652.995.913.900
2356;Lieb Vaterland;Stratz, Rudolph;1911;;;76721;17.498.165.399.999.600;22.807.530.402.366.500
2359;Am Meer;Strindberg, August;1900;;;65021;14.806.152.200.000.300;2.277.133.879.823.490
2360;Die Beichte eines Thoren;Strindberg, August;1893;;;79112;17.566.834.899.999.600;2.220.501.933.966.980
2362;Die Leute auf Hemsö;Strindberg, August;1900;;;46337;11.308.044.700.000.200;24.403.920.624.987.100
2363;Saat und Ernte;Armand_(Friedrich Strubberg);1866;;;174940;4.096.805.340.000.240;23.418.345.375.558.700
2364;Die weißen Götter – Zweiter Band;Stucken, Eduard;1917;;;184482;41.773.726.800.006.100;22.643.795.492.246.400
2367;Das Gelübde einer dreißigjährigen Frau;Sturza, Marie Tihanyi Gräfin;1905;;;47088;10.267.297.500.000.300;2.180.448.840.468.970
2371;Der Katzensteg;Sudermann, Hermann;1890;;;73712;16.548.483.700.000.300;22.450.189.521.380.900
2374;Die Geheimnisse von Paris;Sue, Eugen;1844;;;205715;47.274.583.900.006.100;2.298.062.071.312.550
2376;Eva Siebeck;Suttner, Bertha von;1892;;;67732;14.989.749.400.000.600;22.130.971.180.535.900
2380;Jä gäll, so geit's!;Tavel, Rudolf von;1901;;;42366;2.753.860.899.999.990;0.6500167351177811
2384;Altaich;Thoma, Ludwig;1918;;;66678;13.626.105.600.000.600;2.043.568.433.366.420
2385;Jozef Filsers Briefwexel;Thoma, Ludwig;1912;;;42954;31.637.841.000.000.100;0.7365516831959813
2395;Satiren;Thoma, Ludwig;1912;;;39136;8.480.638.600.000.140;21.669.661.181.521.200
2410;Der Letzte vom »Admiral«;Treller, Franz;1899;;;90899;22.070.911.899.999.800;2.428.069.824.750.530
2411;Der Gefangene der Aimaràs;Treller, Franz;1906;;;74647;17.607.069.299.999.600;23.587.109.059.975.100
2412;Der Enkel der Könige;Treller, Franz;1904;;;79313;18.719.406.599.999.700;23.601.939.908.967.800
2413;Der Sohn des Gaucho;Treller, Franz;1890;;;80511;195.814.791.999.994;2.432.149.544.782.620
2414;Verwehte Spuren;Treller, Franz;1890;;;164671;3.969.809.050.000.410;2.410.751.771.714.760
2424;Rosa und Gertrud;Töpffer, Rudolf;1839;;;75007;15.437.997.300.000.700;20.582.075.406.296.300
2430;Die Rebächle;Villinger, Hermine;1910;;;42085;9.091.049.200.000.180;2.160.163.763.811.370
2434;Zwei Menschen;Voß, Richard;1911;;;83142;19.073.151.799.999.300;2.294.045.344.110.000
2435;Alpentragödie;Voß, Richard;1909;;;91740;1.987.261.129.999.920;2.166.188.282.101.510
